customer_id,customer_name,elite_level_code
2033123310,Matthew Foster,4
8186702651,Tammy Walters,
2416856629,Jeffery Dixon,
1154544516,David Wilkins,2
5214456437,Elizabeth Daniels,0
5590154991,Emily Alexander,5
6774865122,James Lawrence,
7974326984,Megan Craig,2
8023417234,Alexa Martinez,1
1528835057,Jonathan Parker,
3351112750,Leslie Morrison,1
4029953261,Cassandra Flores,
8108148337,Danny Aguirre,0
385356591,Travis Collins,0
4653299214,Kimberly Graham,
6748767796,Joseph Madden,0
1937394483,Alicia Humphrey,
9310326714,Nancy Archer,
6997422211,Jennifer Trujillo,1
9978994405,Nicholas Mcintosh,
8111523184,William Mills,
297296549,Edward Stark,
9053700165,Kimberly Ramos,3
6019050225,Alexandra Cox,2
5923125014,Miguel Macias,1
7851608207,Patricia Sanchez,1
474151115,Christina Garrett,1
7964911453,Jamie Davis,
5473943611,Michael Warren,4
2522402997,Troy Villegas,
1075127892,Erica Oneill,
3124328834,Kristin Harris,0
1865758732,Charles Watson,
2034858976,Hannah Drake,0
6813371451,Jillian Evans,1
3502189415,Alicia Hall,0
2211669626,Emily Klein,2
9117107505,Ann Thomas,3
4596031250,Austin Williams,
1021848050,Theresa Keller,1
9670049063,Shane Reilly,1
7860650199,Jeffery Preston,
4681308857,Kristin Rodriguez,3
7868123546,Melinda Alexander,2
2115027346,Christopher Jensen,
4813289852,Nicole Vega,
9579912340,Louis Schultz,
970509652,John Cruz,3
1874845993,Larry Nolan,
80034637,James Howell,1
749025406,Eric Davis,3
7515709977,Ashley Boyd,2
4577895380,Samantha Lee,1
4145675283,Angela Summers,2
9602479406,Maria Solis,1
5259839017,Miguel Harris,1
2633426588,Shelby Wright,
8334856492,Mr. Thomas Simmons,3
3183395555,Ronald Turner,2
918536540,Mr. Jeremy Mcguire,
7077670300,Mark Soto,
3113850226,Paul Lewis,
704761945,Cameron Cuevas,3
1528736029,Michelle Case,0
1660622341,Charles West,
1671136512,Misty Watson,
9716882970,Devin Spencer,3
552126053,Brittany Jones,0
4385909865,Zoe Miller,4
8574966585,Thomas Gomez,
1093697716,Wesley Ross,
5111382615,Robert Khan,
7768688740,Robert Skinner,2
8623564699,Paul Mack,
3937331764,Jesse Parker,
1370739504,Melinda Munoz,0
7070105525,Jason Schmitt,0
5448977201,Chelsea Shaw,1
4545849592,Donna Campos,2
1773534882,Kevin Baxter,1
3182015615,Mary Ramsey MD,3
9073592136,Tara Lopez,
1093532535,Derek King,1
9206136120,Ryan Williams,
1435611515,Dawn Oconnor DVM,3
4283047162,Melanie Herrera,2
8346569426,Anthony Escobar,2
3732525410,Barbara Rodriguez,1
158783495,Dr. Richard Lynch,0
3331596272,Katrina Hayes,
9170366175,Kelly Thomas,4
4081247133,Tanya Allen,
2698732013,Mrs. Courtney Bennett,0
8387449218,Benjamin Gomez,3
6122895320,Austin Dunn,1
8606400594,Heather Smith,2
5483908606,Cory Reed,
390235425,Ryan Mann,3
8464019059,Diana Kim,3
7483282012,Ariana Odonnell,
6246260993,Brian Clark,1
5013696926,Andrew Johnson,0
9360139623,Thomas Salazar,2
5608141955,Janice Jenkins,0
6932166895,Paula Peck,1
1668539655,Cindy Miller,0
4307740637,Meagan Delacruz,
6232165593,Mario Zamora,2
6674285236,Gary Gray,0
3930806595,Virginia Scott,
1937915435,Erika Chavez,
8341598737,Alejandro Smith,2
4367883724,Courtney Davidson,0
4499552098,Norman Atkinson,1
5621041498,Todd Schmidt,0
5335489097,Megan Carter,3
3129358876,Sandra Conrad,1
7893261683,Sarah Campos,0
6973851496,Angel Dunn,
655218288,Reginald Underwood,
2173186997,Alexandra Harris,1
8296830309,Troy Mcbride,
7231792600,Christopher Perez,1
2961189970,Mason Blackwell,2
9970923895,Matthew Foster,2
5612851401,Meghan Wang,
8268551277,Stephanie Johnson,0
7669616859,Brian Villegas,3
1194613318,Lisa Cooper,0
1097041812,April Ramirez,
3283674418,Linda Mathews,
5936752194,Joel Lawrence,1
2827883314,Ashley Harris,
2054531384,Corey Meza,
2943030861,Danny Johnson,2
5786189594,Daniel Wu,1
6532857051,Lindsey Navarro,1
6168939039,Heather Brown,0
3063620412,Paige Lee,2
799074657,Keith Nelson,
6018774716,Joseph Galloway,
8968814023,Reginald Scott,
2713059876,Todd Crosby,
7739558002,Brittany Brown,2
6944762651,James Reynolds,1
4031423656,Joshua Brown,
8218702731,Aaron White,4
9723822305,Deborah Morse,
3315479167,Brandon Gardner,
9652148020,Rodney Kim,
480562026,Sarah Liu,
2356514832,Heather Williams,
6559437741,James Santos,0
4802648291,Christine Costa,1
4219414410,Mary Cook,0
4479774607,Brenda Byrd,2
9390107463,Jasmine Hall DDS,4
3691528512,Andrea Ibarra,3
7918734415,Adam Johnson,1
8842275599,Michael Donovan,
4669779861,Briana May,
271278066,Andrew Cobb,
1429493176,Gina Johnson,0
6141232125,Katherine Ballard,1
174687241,Shannon Patel,2
2297975979,Savannah Navarro,3
6281616721,Shelby Nunez,
5763074495,Terry York,3
8389447762,Nicole Turner,
3414862714,Kevin Cuevas,
6921265666,Amy Proctor,
3459967339,Janice Ward,1
9390991527,Kimberly Brown,
8033431665,Brandy Long,
7399286438,Robert White,
929291604,Gregory Donaldson,0
6561043249,James Ryan,
3168184624,Elijah Boyer,
420587437,Kendra Rosales,
9394597611,Jessica Webster,
7020240383,Stephen Rogers,
8931735854,Jordan Chan,2
6485188740,Randy Pratt,
9128419190,Logan Nguyen,2
4777037803,David Knight,
6770490192,Julie Mendoza,1
1189765600,Jeremy Howell,3
3866555697,Sue Fuller,3
9298308725,Bryan Goodwin,2
4755215100,Andrew Clark,3
6685588120,Rebecca Shea,
6407129515,Thomas Li,
4345509452,Brittany Lewis,0
4304377529,Michael Wilson,2
3700605415,Darius Barnes,0
5984580004,Sarah Patrick,4
3904103912,Charles Hurst,1
6206117807,Kimberly Strickland,
2300610798,Kevin Johnson,3
9695213397,Craig Cowan,
7449009249,Jeff Williams,
2686604075,Ashley Garcia,1
9075640245,Kathleen Jones,0
6229558385,Jessica Williams,1
1905852344,Connie Leonard,
6239024977,Kimberly Owens,2
236745319,Lee King,2
5749601304,Jeffrey Hughes,
5969640641,Kenneth Boyd,
8442739877,Daniel Thompson,3
9364804988,Robert Newton,
6475687365,Joseph Taylor,
8308180535,Mark Cannon,
7897296272,Dean Rivera,0
8688775231,Kenneth Wolfe,1
1918983723,Julia Jordan,0
898078669,Tricia Olson,1
6726935550,Antonio Lamb,3
1187990475,Renee Jimenez,
5781574427,Melissa Clark,
3494845798,Thomas York,
9740518817,Darrell Davis,
9279770122,Aaron Smith,3
2548868856,Dr. Jody Hurst,1
1448092013,Andrew Ryan,1
2139034674,Sarah Lopez,1
2438390031,Sandy Harris,
8521860286,Melissa Mcpherson,1
2971678936,Michael Holloway,1
6942343286,Andrew Jennings,1
8198242256,Linda Taylor,0
8636330144,Sabrina Lee,
3011113737,Philip Phillips,0
2917117093,Deanna Levy,2
9613462565,Mrs. Amanda Cook,
2634779687,Felicia Mills,5
3547300545,Katherine Benson,
8825123709,Anthony Schaefer,0
6277240698,Danny Landry,4
856732097,Adam Richard,
6108753210,Pamela Johnson,
6139909668,David Brown,1
4671147990,William Jones,3
2791748282,Kristin Moore,
4668908469,Jennifer Jefferson,1
3721553064,Robert Bryant,
836668258,Amber Cole,2
6262664258,Rachael Lewis,
5777788286,Susan Ramirez,
6533715796,Theodore Evans,1
4689597701,Robert Ramos,0
9803010142,Timothy Torres,1
8082552351,Matthew Combs,
149859178,Lynn Miller,3
2966478473,David Goodman,1
7565713000,Kelly Williams,2
3894201036,Tammy Clark,1
6437734671,James Smith,
2381282222,Sherry Page,0
3217887751,Melissa Nelson,0
9653199555,Carl Hernandez,
6440512032,Cameron Ellis,0
9895710616,Shawn Young,1
492933261,Micheal Wells,0
6551948406,Bradley Smith,
6622575432,Kimberly Page,1
9974109402,Jacob Simmons,
7613144714,Elizabeth Williams,2
3094274120,Linda Chen,0
8354556984,Casey Ramirez,0
4739534792,Joshua Mclaughlin,0
1201351361,Jessica Davis,1
5724532769,Brittany Ryan,0
9264813801,Stephanie Torres,2
5581388869,Taylor White,0
9171474815,Taylor Greer,4
3689604826,Brian Anderson,
9005721013,Nicholas Harris DVM,1
414991705,Stephen Gray,
5153622857,Wanda Mcgrath,2
4888192632,Matthew Mack,0
7698805185,Alexa Smith,
9201886839,Rebecca Payne,1
3693126616,Christie May,
4011007810,Daniel Hernandez,5
760916525,Todd Horton,2
7999851932,Linda Ramirez,1
3810902254,Monica Holland,
512116869,Tracey Bishop,2
6477478254,John Brooks,
9186717785,Jeffrey Henry,1
5683407026,Evan Wilson,
4235281983,Andrea Patterson,
411397729,Natalie Crawford,0
3197607638,Victor Gutierrez,1
7760158387,Crystal Reed,1
3858089795,Randy Cruz,0
7580827335,Robert Jimenez,
164416989,Pamela Owen,
5434224428,Mark Watson,1
2061582545,Martha Martinez,
6408600127,Sara Burke,3
8636556192,Melissa Warner,1
6967203231,Rodney Parrish,
2826095661,Tanner Armstrong,2
2265349733,Ronald Cole,
646577656,Marcus Snyder,2
26444871,Dalton Garcia,1
1387017531,Chad Collins,1
7174848133,Robert Alexander,
5614447481,Sabrina Young,
1695798034,Julie Green,4
7809940743,Alex Mcgee,1
3427753865,Ryan Brown,1
1462932827,Dr. Jason Johnson,
4492209409,Tammy Smith,1
1884179846,Charles Jones,
3016632701,Robert Spencer,
9763235754,Carol Figueroa,3
3077282365,Lawrence Hicks,1
8895038653,Elizabeth Morrison MD,0
4432864674,Jessica Gomez,
8872271021,Jennifer Melendez,1
1078620052,Arthur Pennington,
4401468874,Kimberly Evans,4
9881794619,Karla Miller,0
8357736381,Mark Duran,1
2965050695,Denise Whitaker DDS,
2622545753,Linda Williams,1
3844605103,Kristi Frazier,2
9279236023,Nicole Powell,3
4563205503,Paula Horton,0
3169198646,Darryl Harding,
8025425548,Daniel Davis,
9590875357,Patrick Moore,1
1574424514,Latasha Howard,2
8242659310,Mary Torres MD,2
7730664539,Emily Mitchell,0
7035310256,Michael Shepard,3
9863227572,Scott Gray,
2690411373,Glenn Jackson,2
6338257519,Jose Curtis,2
295295541,Felicia Wells,
2903520262,Jamie Deleon,
9348058886,Dr. Sonya Gordon,
5358327206,Nicholas Hendricks,0
8836709607,Heather Pennington,1
3646033723,Gina Anderson,
5846069673,Luis Simmons,3
8084290192,Garrett Martin,0
2330698212,Julie Mercado,
3127657398,Michael Carroll,
5790962051,Thomas Brown,
